rating,review
4.0,Nice
4.0,Super
4.0,Very nice product
4.0,bahut Achcha suit hai
3.0,Xl size but completely not fit sleeve very tight
3.0,Just ok
5.0,Bahot achha
5.0,Good Product very nice
5.0,Aacha thaa
5.0,Super 😇☺️
5.0,बहुत अच्छा
5.0,Good
5.0,Very good U can buy it
5.0,Very good😍😍👍
5.0,V good 👍
5.0,Nice kurti
5.0,Exllent 🥰🥰
5.0,Good quality 😀
5.0,
5.0,
5.0,Nice 👍
5.0,Thank you so much
5.0,Good
5.0,Kapde Sahi hai
5.0,Good worhable👍
3.0,Nice 👍 and size fir
4.0,Nice
4.0,छाण ??
4.0,Sleeve to short this product muslims women no abule use
4.0,Nice 👍 product Thank you meesho
4.0,Pehale bar clothe Manga va ya tha or Acha aya h
5.0,Bahut achha hai thanks you meesho
5.0,"Fit, length, color, fabric all are okay ."
5.0,Super product for money TQ meesho
5.0,Super design and fit size
5.0,This material is good thanks for meesho💗
5.0,It's really good according to price
5.0,Plazo bhi dikhaya tha but diya nhi bus 🥹
5.0,Bahut acha hai par baju bahut chota hai
5.0,Very good product... Go for it
5.0,According to price worth it bhai just go for it.
5.0,Nice but sleeve small hai
5.0,Nice quality cloth very nice😊
4.0,I love the fabric material so good
4.0,My first shopping in meesho it's amazing 😇
4.0,Nice prodect .porfect fit tq meesho
4.0,Nice fabric and perfect size
4.0,Good as shown in the picture.
4.0,Same to.same thank you messo 😍
3.0,Material is very soft and good
4.0,Axxa but maine red magaya tha black fe Diya 😔😔
4.0,Bahut acha hai thank you meesho
4.0,"It was nice , but i expect pant also but it didn't"
4.0,okay but hands are small in size
4.0,Superb I love this kurthi ♥️
4.0,Good quality thanku mesho
4.0,Nice kurti ?i like it tq meesho☺️
4.0,Best quality Thanks meesho ??
4.0,Worth it...guys definitely go for it...
4.0,Sachme bahot hi mast he? Thank you meesho❤️?
4.0,Kurti very nice..thanks Meesho
4.0,"Very nice product,thanks meesho< 3"
4.0,Good but it's small size but I'll manage
4.0,Nice kurti🥰
4.0,Good
4.0,👌👌👌
4.0,dress Achcha hai
4.0,
4.0,Very good product nice
4.0,Bauth kharab
4.0,Very nice
4.0,Nice
4.0,Achha hai product
4.0,💗
4.0,Very good 👍
4.0,Super
4.0,I ordered M size it's fit
4.0,Nice 👍🏻
4.0,
4.0,Sahi hai yaar ☺️
4.0,Good
4.0,Nice
4.0,Very nice nice colour
4.0,
5.0,Best kurti 👍❤️❤️❤️❤️❤️❤️😘
5.0,Very good
5.0,Good
5.0,Good product
5.0,Bahut acha ha
5.0,Very good
5.0,Hhhiui
5.0,
5.0,Ok ok
5.0,Very good febrik
5.0,Very good
5.0,
5.0,
5.0,Very good
5.0,
5.0,
5.0,
5.0,Good
5.0,
5.0,
5.0,Good material
5.0,Ok
5.0,Super
5.0,Nice💫♥️
5.0,Bahut achha h 🥰
5.0,Exilent
5.0,Very nice 🙂
5.0,
5.0,Super 👍😊
5.0,Like if you want something light weight you must have this one
5.0,Parla bagane undhi
5.0,
5.0,Nice ✨
5.0,Good
5.0,Nice product
5.0,Nice 👍
5.0,Achhi hain bahut
5.0,Super 👍
5.0,Good💫✨👍🏻
5.0,💕💕
5.0,Good
5.0,Acha hai
5.0,Very Nice Kurti 👍🏻
5.0,Very nice kurti 😘❤️
5.0,Nice fabric
5.0,Mast hai
5.0,Hi
5.0,Nice 👍
5.0,
5.0,
4.0,🖤
5.0,Very nice
5.0,Good 👍👍
5.0,Mastch
5.0,
5.0,
5.0,Nice
5.0,So nice 👍♥️👌
5.0,Nice
5.0,
5.0,Very good
5.0,Supar
5.0,Bahut achha product...👍
5.0,Very good 👍
5.0,Kapda thik hai
5.0,Very nice 👍
5.0,Super
5.0,Super ❤️ R
5.0,Super
5.0,
5.0,
5.0,Nice
5.0,
5.0,Very nice
5.0,Super
5.0,Wow
5.0,
5.0,Nice
5.0,Good
5.0,Nice👍
5.0,Nice
5.0,Good I like it 😊
5.0,
5.0,Thanks mesho
5.0,Nice..
5.0,Nice 👍🏻
5.0,Good
5.0,Nice 👍
5.0,Good
5.0,Very nice
5.0,nice
5.0,Nice product
5.0,Good
5.0,
5.0,
5.0,Super hai
5.0,Super
5.0,
5.0,Perfect👍🏻
5.0,
5.0,Very very nice
5.0,Good quality
5.0,Just wow 🎉 best kurti
5.0,Nice product
5.0,Ok6
5.0,
5.0,
5.0,Super 👌👍tq meeshow
5.0,
5.0,Nice one❤️
5.0,Fab..... dress 🥰🥰
5.0,It's amazing
5.0,Nice
5.0,
5.0,Very good product
5.0,Nice dress I love this❤
5.0,💗
5.0,Very good and nice
5.0,Good 😊
5.0,Super
5.0,Very nice I like this
5.0,Best quality
5.0,Very nice 👍 osm
5.0,
5.0,Size is not good
5.0,Bhot cute kurtiii aayi
5.0,Good
5.0,Very nice febric
5.0,
5.0,Sundar
5.0,
5.0,
5.0,VGood
5.0,Nice
5.0,Thank you for
5.0,
5.0,
5.0,Khush
5.0,बहुत बढ़िया
5.0,
5.0,
5.0,Very good product
5.0,Thank you
5.0,Mast hai 😀
5.0,Aachi hai
5.0,
5.0,G
5.0,Super
5.0,👍🙂
5.0,Good
5.0,Very good
5.0,
5.0,Very good
5.0,👌👌👌👌👌
5.0,
5.0,
5.0,Pretty
5.0,Nice
5.0,Nice product 🥰👌
5.0,Very good product ❤️❤️
5.0,Vgood
5.0,Very good
5.0,Super quality
5.0,वेरी गुड
5.0,I love the kurti
5.0,Very nice 👍👍
5.0,Nice kurta
5.0,Very good 😊😊
5.0,Very nice
5.0,Good quality
5.0,Bahut badhiya
5.0,Nice
5.0,Fantastic 😍
5.0,
5.0,🤗🤗 nice fabric
5.0,Bhai bhot he mast ha ❣️🤩
5.0,Nice super
5.0,Nice
5.0,Nice kurti😇
5.0,Nice
5.0,Nice ☺️
5.0,Good 👍
5.0,
5.0,Nice
5.0,Very nice cloth
5.0,Good
5.0,
5.0,Anu.t.k
5.0,
5.0,Good 👍
5.0,Super 😍
5.0,Very nice dress
5.0,Nice product
5.0,Good🖇️🤍🤍
5.0,Bahut accha hai👌
5.0,nice dress
5.0,Nice
5.0,Types
5.0,Super 😍✨
5.0,S
5.0,Very beautiful 🙃🌼
5.0,Very good
5.0,Bahut acha hai
5.0,Nice 👍
5.0,Super
5.0,Super 👍
5.0,Very good fabric
5.0,Very nice product
5.0,
5.0,Very nice product
5.0,Nice product 🥰🥰
5.0,Nice....🥰👍🤝😍
5.0,Nice 👍
5.0,Soo sooooo good
5.0,💓
5.0,
5.0,
5.0,😊😊👍
5.0,Nice 👍🏻
5.0,♥️♥️♥️
5.0,
5.0,Super
5.0,Very nice
5.0,
5.0,Super
5.0,Very nice product
5.0,Very nice kurti
5.0,Thank you 😊😊 meesho
5.0,Bahut achha Aya hai
5.0,Mast
5.0,Super
5.0,Nice
5.0,Bht acha drees hai
5.0,Nice 😍
5.0,Good
5.0,Ok
5.0,Nice
5.0,Nice dress
5.0,
5.0,Mast
5.0,Bhut acchi hai ❤️
5.0,Nice drees
5.0,Excellent 👌🏻👌🏻
5.0,So beautiful
5.0,Nice mesho tq👍
5.0,Super kurta
5.0,Very good
5.0,........
5.0,
5.0,colour white
5.0,
5.0,
5.0,Bht achi hai 😍
5.0,Superb product
5.0,Very good
5.0,Very good product
5.0,Ok
5.0,
5.0,Verry nice
5.0,Bahut acha h
5.0,Nice
5.0,Not so good
5.0,Good product 👌 👍 😍😊
5.0,Nice 👍
5.0,Nice product
5.0,Very good
5.0,
5.0,
5.0,Good
5.0,Nice
5.0,215
5.0,Perfect
5.0,Nice 🥰
5.0,
5.0,Nice product
5.0,Ok
5.0,Very nice 👌
5.0,Good
5.0,Super ❤️
5.0,
5.0,Nice👍
5.0,it felt so good
5.0,
5.0,Not bad👍
5.0,very nice
5.0,Verry good quality 👌🏻
5.0,Good
5.0,Superb
5.0,
5.0,Very nice 👍 🙂🙂🙂🙂
5.0,Supper
5.0,Good 😊
5.0,Super
5.0,
5.0,Good❤️
5.0,Beautiful
5.0,Love it
5.0,🥰🥰
5.0,Good product TQ meesho
5.0,Nice
5.0,Vry nyc ✌️✌️✌️
5.0,
5.0,Good but size issue
5.0,Very nice confirm
5.0,
